ProductID,ProductName,PaymentMethod,CategoryID
772,Product 772,Debit Card,28
525,Product 525,Cash,18
714,Product 714,Cash,45
396,Product 396,Credit Card,47
815,Product 815,Cash,2
572,Product 572,Cash,36
142,Product 142,Cash,9
503,Product 503,Cash,4
249,Product 249,Credit Card,19
422,Product 422,Cash,29
729,Product 729,Credit Card,7
719,Product 719,Debit Card,30
943,Product 943,Debit Card,41
144,Product 144,Credit Card,39
159,Product 159,Cash,17
116,Product 116,Credit Card,11
662,Product 662,Debit Card,36
448,Product 448,Cash,11
332,Product 332,Debit Card,36
251,Product 251,Debit Card,22
874,Product 874,Cash,41
705,Product 705,Credit Card,14
130,Product 130,PayPal,27
881,Product 881,Debit Card,33
368,Product 368,Credit Card,44
981,Product 981,Debit Card,14
535,Product 535,Credit Card,42
862,Product 862,Credit Card,14
571,Product 571,PayPal,7
234,Product 234,Cash,23
277,Product 277,Credit Card,1
997,Product 997,Credit Card,15
771,Product 771,Cash,6
109,Product 109,PayPal,40
675,Product 675,Cash,31
121,Product 121,Debit Card,25
686,Product 686,Cash,22
834,Product 834,Cash,35
556,Product 556,Credit Card,18
845,Product 845,Debit Card,25
974,Product 974,Credit Card,20
374,Product 374,PayPal,38
586,Product 586,Cash,19
718,Product 718,PayPal,13
667,Product 667,Debit Card,4
707,Product 707,Debit Card,18
554,Product 554,PayPal,7
714,Product 714,Credit Card,33
779,Product 779,Cash,9
446,Product 446,Debit Card,21
778,Product 778,Debit Card,27
157,Product 157,Debit Card,18
253,Product 253,PayPal,2
768,Product 768,PayPal,21
850,Product 850,PayPal,40
345,Product 345,Debit Card,26
827,Product 827,Cash,1
733,Product 733,Debit Card,41
201,Product 201,Cash,29
557,Product 557,PayPal,22
704,Product 704,Credit Card,3
662,Product 662,Credit Card,12
318,Product 318,Debit Card,20
461,Product 461,Debit Card,45
109,Product 109,Debit Card,31
171,Product 171,Cash,25
747,Product 747,Credit Card,24
902,Product 902,Cash,10
734,Product 734,Cash,15
290,Product 290,PayPal,33
184,Product 184,PayPal,16
387,Product 387,PayPal,3
866,Product 866,PayPal,4
694,Product 694,PayPal,30
548,Product 548,Debit Card,31
602,Product 602,PayPal,36
238,Product 238,Debit Card,33
369,Product 369,PayPal,1
244,Product 244,Debit Card,43
111,Product 111,Debit Card,24
809,Product 809,Cash,7
968,Product 968,Credit Card,28
560,Product 560,Debit Card,49
535,Product 535,PayPal,42
840,Product 840,Cash,7
177,Product 177,PayPal,19
399,Product 399,Debit Card,44
257,Product 257,PayPal,26
124,Product 124,Cash,23
313,Product 313,Debit Card,29
975,Product 975,Cash,23
743,Product 743,Debit Card,14
885,Product 885,Cash,30
124,Product 124,Credit Card,16
771,Product 771,Credit Card,24
100,Product 100,PayPal,30
687,Product 687,Credit Card,11
530,Product 530,Cash,32
647,Product 647,Credit Card,11
292,Product 292,Debit Card,42
288,Product 288,Credit Card,11
112,Product 112,Credit Card,50
956,Product 956,PayPal,4
884,Product 884,Cash,34
644,Product 644,Cash,31
661,Product 661,Cash,6
294,Product 294,PayPal,49
701,Product 701,Debit Card,43
788,Product 788,Credit Card,27
631,Product 631,PayPal,3
277,Product 277,Debit Card,21
295,Product 295,Debit Card,38
204,Product 204,Credit Card,30
114,Product 114,Cash,19
224,Product 224,Debit Card,35
917,Product 917,Credit Card,21
835,Product 835,Cash,8
345,Product 345,Debit Card,18
331,Product 331,PayPal,18
830,Product 830,Debit Card,50
280,Product 280,PayPal,19
103,Product 103,Credit Card,8
242,Product 242,PayPal,6
854,Product 854,Cash,40
439,Product 439,Debit Card,39
542,Product 542,PayPal,38
409,Product 409,Cash,2
698,Product 698,PayPal,12
492,Product 492,Cash,16
781,Product 781,Credit Card,11
626,Product 626,Debit Card,31
443,Product 443,Debit Card,38
365,Product 365,PayPal,24
608,Product 608,Debit Card,12
845,Product 845,PayPal,15
163,Product 163,Cash,5
622,Product 622,Credit Card,38
788,Product 788,Debit Card,21
901,Product 901,Cash,5
331,Product 331,Debit Card,26
473,Product 473,Debit Card,25
936,Product 936,PayPal,33
894,Product 894,PayPal,17
233,Product 233,Debit Card,14
514,Product 514,Credit Card,14
241,Product 241,PayPal,35
657,Product 657,Credit Card,23
783,Product 783,Cash,8
528,Product 528,PayPal,15
620,Product 620,PayPal,29
416,Product 416,PayPal,27
817,Product 817,Cash,49
587,Product 587,Debit Card,37
524,Product 524,Cash,16
487,Product 487,Cash,21
643,Product 643,Credit Card,32
286,Product 286,PayPal,23
474,Product 474,Debit Card,49
442,Product 442,Credit Card,40
551,Product 551,PayPal,34
318,Product 318,Credit Card,48
993,Product 993,Credit Card,38
805,Product 805,PayPal,14
445,Product 445,Cash,18
882,Product 882,Debit Card,50
295,Product 295,Cash,16
966,Product 966,PayPal,10
874,Product 874,PayPal,18
606,Product 606,PayPal,26
511,Product 511,Credit Card,1
317,Product 317,PayPal,26
563,Product 563,Debit Card,25
774,Product 774,PayPal,39
956,Product 956,Credit Card,50
222,Product 222,Cash,21
389,Product 389,PayPal,7
918,Product 918,Credit Card,3
941,Product 941,Debit Card,21
986,Product 986,PayPal,40
374,Product 374,Debit Card,4
591,Product 591,Cash,20
862,Product 862,Debit Card,2
256,Product 256,Cash,13
411,Product 411,Debit Card,46
893,Product 893,Cash,19
907,Product 907,Cash,24
314,Product 314,Cash,36
330,Product 330,Debit Card,47
441,Product 441,PayPal,38
507,Product 507,Credit Card,11
400,Product 400,Debit Card,1
322,Product 322,PayPal,36
781,Product 781,Cash,22
748,Product 748,Debit Card,2
129,Product 129,Cash,36
731,Product 731,PayPal,24
881,Product 881,PayPal,50
614,Product 614,Debit Card,11
268,Product 268,Credit Card,32
186,Product 186,Cash,29
102,Product 102,PayPal,31
751,Product 751,Credit Card,1
239,Product 239,Cash,22
694,Product 694,Credit Card,33
415,Product 415,Cash,45
595,Product 595,Credit Card,13
370,Product 370,Debit Card,28
468,Product 468,PayPal,25
926,Product 926,Debit Card,42
831,Product 831,Debit Card,30
616,Product 616,Debit Card,18
491,Product 491,Debit Card,34
788,Product 788,Credit Card,41
281,Product 281,PayPal,8
607,Product 607,PayPal,22
861,Product 861,Debit Card,6
659,Product 659,Cash,5
837,Product 837,Cash,2
682,Product 682,Cash,11
245,Product 245,Credit Card,32
154,Product 154,PayPal,21
490,Product 490,PayPal,12
211,Product 211,Debit Card,13
353,Product 353,PayPal,48
301,Product 301,Cash,12
601,Product 601,Credit Card,23
960,Product 960,PayPal,27
433,Product 433,Credit Card,14
778,Product 778,PayPal,16
109,Product 109,Credit Card,2
999,Product 999,Credit Card,28
267,Product 267,PayPal,1
318,Product 318,Cash,35
531,Product 531,Credit Card,47
649,Product 649,Cash,15
126,Product 126,Credit Card,27
805,Product 805,PayPal,21
285,Product 285,Credit Card,45
110,Product 110,Cash,37
212,Product 212,PayPal,47
377,Product 377,PayPal,6
145,Product 145,Credit Card,46
962,Product 962,Debit Card,10
345,Product 345,Debit Card,5
630,Product 630,Cash,7
208,Product 208,Debit Card,32
666,Product 666,PayPal,24
336,Product 336,Cash,48
950,Product 950,Cash,42
120,Product 120,Cash,18
798,Product 798,Debit Card,30
548,Product 548,Debit Card,49
224,Product 224,Cash,6
819,Product 819,Credit Card,39
466,Product 466,PayPal,41
508,Product 508,Cash,2
434,Product 434,Debit Card,15
581,Product 581,Cash,49
279,Product 279,PayPal,25
154,Product 154,Debit Card,17
599,Product 599,Credit Card,48
789,Product 789,PayPal,19
471,Product 471,Debit Card,43
177,Product 177,Credit Card,35
215,Product 215,PayPal,5
394,Product 394,PayPal,25
980,Product 980,PayPal,46
743,Product 743,PayPal,3
597,Product 597,PayPal,21
664,Product 664,PayPal,42
680,Product 680,Debit Card,33
234,Product 234,Debit Card,32
184,Product 184,Cash,30
329,Product 329,Cash,20
267,Product 267,Cash,15
316,Product 316,Credit Card,25
149,Product 149,PayPal,12
100,Product 100,Cash,19
158,Product 158,Credit Card,2
619,Product 619,Credit Card,45
962,Product 962,Cash,29
371,Product 371,Credit Card,25
178,Product 178,Cash,43
612,Product 612,PayPal,50
214,Product 214,Cash,23
383,Product 383,PayPal,23
397,Product 397,PayPal,16
347,Product 347,PayPal,33
623,Product 623,Cash,36
133,Product 133,PayPal,30
871,Product 871,Cash,7
568,Product 568,PayPal,26
810,Product 810,Cash,9
824,Product 824,PayPal,48
294,Product 294,Credit Card,24
932,Product 932,Debit Card,16
845,Product 845,Cash,37
708,Product 708,Credit Card,44
727,Product 727,Debit Card,33
791,Product 791,Credit Card,32
569,Product 569,Credit Card,43
578,Product 578,Debit Card,48
362,Product 362,Credit Card,10
788,Product 788,PayPal,25
224,Product 224,PayPal,30
937,Product 937,Debit Card,15
927,Product 927,PayPal,43
126,Product 126,Debit Card,36
124,Product 124,Debit Card,2
995,Product 995,Credit Card,33
400,Product 400,PayPal,9
449,Product 449,Debit Card,39
523,Product 523,PayPal,31
803,Product 803,Debit Card,16
143,Product 143,PayPal,33
310,Product 310,Credit Card,42
767,Product 767,Credit Card,21
319,Product 319,Debit Card,1
169,Product 169,PayPal,20
218,Product 218,Credit Card,15
260,Product 260,Credit Card,42
878,Product 878,PayPal,14
622,Product 622,Debit Card,18
309,Product 309,Debit Card,1
836,Product 836,Debit Card,50
663,Product 663,PayPal,15
733,Product 733,Debit Card,18
617,Product 617,PayPal,33
464,Product 464,Credit Card,6
804,Product 804,PayPal,1
884,Product 884,Debit Card,34
813,Product 813,Debit Card,3
553,Product 553,Cash,15
980,Product 980,Debit Card,38
167,Product 167,PayPal,48
725,Product 725,Cash,6
878,Product 878,PayPal,44
368,Product 368,Cash,48
815,Product 815,Debit Card,33
994,Product 994,PayPal,48
959,Product 959,Cash,41
561,Product 561,Cash,20
602,Product 602,Debit Card,18
652,Product 652,Credit Card,7
263,Product 263,PayPal,33
624,Product 624,PayPal,11
951,Product 951,Cash,42
146,Product 146,Debit Card,19
934,Product 934,Cash,39
933,Product 933,PayPal,40
714,Product 714,Credit Card,13
763,Product 763,PayPal,14
966,Product 966,Debit Card,45
186,Product 186,PayPal,3
960,Product 960,Credit Card,6
180,Product 180,PayPal,20
494,Product 494,PayPal,14
887,Product 887,Cash,18
518,Product 518,Debit Card,4
359,Product 359,Debit Card,47
676,Product 676,Credit Card,12
737,Product 737,Cash,22
332,Product 332,Cash,29
949,Product 949,Debit Card,43
721,Product 721,Credit Card,15
941,Product 941,Credit Card,13
317,Product 317,Credit Card,7
504,Product 504,PayPal,12
198,Product 198,Debit Card,36
625,Product 625,Cash,14
906,Product 906,Cash,6
755,Product 755,Debit Card,12
406,Product 406,Debit Card,35
280,Product 280,Credit Card,31
847,Product 847,PayPal,34
743,Product 743,Debit Card,37
966,Product 966,PayPal,5
253,Product 253,Debit Card,45
975,Product 975,Cash,14
638,Product 638,Debit Card,16
647,Product 647,Debit Card,22
458,Product 458,PayPal,23
442,Product 442,Debit Card,8
371,Product 371,Debit Card,39
548,Product 548,Credit Card,23
438,Product 438,Debit Card,20
744,Product 744,Cash,3
482,Product 482,PayPal,3
234,Product 234,Credit Card,13
248,Product 248,PayPal,6
682,Product 682,PayPal,33
340,Product 340,PayPal,47
617,Product 617,Credit Card,27
533,Product 533,Credit Card,44
581,Product 581,Credit Card,12
108,Product 108,PayPal,31
412,Product 412,Cash,1
577,Product 577,PayPal,21
101,Product 101,Debit Card,6
101,Product 101,Credit Card,48
497,Product 497,Credit Card,18
625,Product 625,Debit Card,50
386,Product 386,Debit Card,11
491,Product 491,Credit Card,6
811,Product 811,PayPal,22
402,Product 402,PayPal,39
860,Product 860,Credit Card,44
195,Product 195,Debit Card,16
267,Product 267,Credit Card,18
662,Product 662,PayPal,5
676,Product 676,PayPal,1
412,Product 412,Debit Card,22
907,Product 907,Debit Card,8
276,Product 276,Credit Card,37
533,Product 533,Credit Card,31
702,Product 702,PayPal,23
441,Product 441,Debit Card,39
217,Product 217,Credit Card,38
758,Product 758,PayPal,32
869,Product 869,Credit Card,25
921,Product 921,Credit Card,45
559,Product 559,PayPal,32
554,Product 554,Credit Card,3
812,Product 812,Debit Card,36
996,Product 996,Cash,21
977,Product 977,Debit Card,33
701,Product 701,PayPal,39
621,Product 621,PayPal,48
194,Product 194,Debit Card,22
185,Product 185,Cash,12
424,Product 424,Cash,3
920,Product 920,Debit Card,42
334,Product 334,Debit Card,36
312,Product 312,Credit Card,10
469,Product 469,Cash,34
430,Product 430,Debit Card,41
656,Product 656,Credit Card,24
835,Product 835,Debit Card,45
489,Product 489,Debit Card,5
230,Product 230,Cash,2
887,Product 887,Credit Card,31
673,Product 673,Credit Card,46
755,Product 755,Cash,35
386,Product 386,PayPal,31
915,Product 915,PayPal,32
408,Product 408,Debit Card,39
340,Product 340,PayPal,46
826,Product 826,Debit Card,38
644,Product 644,Cash,16
110,Product 110,Cash,36
757,Product 757,Credit Card,13
552,Product 552,Cash,34
475,Product 475,Credit Card,20
495,Product 495,Debit Card,47
128,Product 128,Debit Card,14
813,Product 813,Debit Card,35
363,Product 363,Credit Card,7
366,Product 366,Credit Card,45
775,Product 775,Credit Card,32
933,Product 933,Credit Card,22
155,Product 155,Credit Card,20
524,Product 524,Credit Card,28
634,Product 634,PayPal,33
911,Product 911,PayPal,35
784,Product 784,PayPal,19
385,Product 385,Debit Card,4
691,Product 691,Credit Card,20
454,Product 454,Cash,8
949,Product 949,Cash,21
847,Product 847,Credit Card,14
334,Product 334,Credit Card,30
569,Product 569,Credit Card,18
502,Product 502,Credit Card,38
700,Product 700,Debit Card,10
926,Product 926,PayPal,38
852,Product 852,PayPal,1
855,Product 855,PayPal,11
811,Product 811,PayPal,16
829,Product 829,Cash,43
932,Product 932,Cash,34
320,Product 320,Cash,45
727,Product 727,Cash,6
848,Product 848,Credit Card,23
988,Product 988,PayPal,20
965,Product 965,Credit Card,3
627,Product 627,PayPal,8
203,Product 203,Credit Card,28
628,Product 628,Debit Card,44
247,Product 247,PayPal,36
309,Product 309,PayPal,1
498,Product 498,Debit Card,18
713,Product 713,Debit Card,46
323,Product 323,Cash,18
824,Product 824,Credit Card,41
785,Product 785,PayPal,16
622,Product 622,Credit Card,44
257,Product 257,Cash,4
225,Product 225,Credit Card,38
406,Product 406,PayPal,40
579,Product 579,PayPal,28
631,Product 631,Cash,22
466,Product 466,PayPal,27
944,Product 944,Cash,36
565,Product 565,Credit Card,1
196,Product 196,Credit Card,10
413,Product 413,Cash,36
867,Product 867,Debit Card,32
412,Product 412,PayPal,30
397,Product 397,Debit Card,42
686,Product 686,Cash,24
817,Product 817,Credit Card,25
382,Product 382,Cash,7
609,Product 609,PayPal,30
127,Product 127,Credit Card,20
615,Product 615,Credit Card,40
986,Product 986,PayPal,5
147,Product 147,Debit Card,31
722,Product 722,Cash,12
904,Product 904,Cash,16
435,Product 435,Credit Card,38
816,Product 816,PayPal,25
240,Product 240,Credit Card,37
261,Product 261,Credit Card,4
156,Product 156,Cash,37
468,Product 468,Debit Card,7
814,Product 814,Debit Card,9
315,Product 315,PayPal,17
414,Product 414,Credit Card,45
565,Product 565,Credit Card,44
484,Product 484,Credit Card,10
501,Product 501,Debit Card,27
490,Product 490,Credit Card,45
256,Product 256,Debit Card,40
606,Product 606,Credit Card,30
830,Product 830,Debit Card,23
757,Product 757,Cash,49
180,Product 180,Credit Card,33
237,Product 237,Credit Card,15
279,Product 279,Credit Card,6
358,Product 358,Cash,1
633,Product 633,Debit Card,24
173,Product 173,Debit Card,43
932,Product 932,Cash,27
314,Product 314,Credit Card,30
375,Product 375,Debit Card,4
324,Product 324,Credit Card,7
329,Product 329,Debit Card,35
517,Product 517,Debit Card,13
206,Product 206,PayPal,49
130,Product 130,Cash,25
941,Product 941,Debit Card,39
376,Product 376,Credit Card,1
408,Product 408,Credit Card,41
432,Product 432,Cash,6
236,Product 236,Debit Card,8
515,Product 515,Credit Card,31
539,Product 539,Debit Card,34
167,Product 167,PayPal,11
338,Product 338,Credit Card,27
300,Product 300,Cash,25
337,Product 337,Credit Card,34
610,Product 610,Credit Card,35
190,Product 190,PayPal,34
918,Product 918,PayPal,18
571,Product 571,Cash,17
979,Product 979,PayPal,17
907,Product 907,Debit Card,50
787,Product 787,Cash,17
563,Product 563,PayPal,9
375,Product 375,Debit Card,2
300,Product 300,Cash,43
145,Product 145,Cash,27
449,Product 449,PayPal,50
647,Product 647,Credit Card,22
230,Product 230,Debit Card,23
950,Product 950,Debit Card,50
777,Product 777,Debit Card,47
896,Product 896,Credit Card,29
525,Product 525,Credit Card,17
286,Product 286,PayPal,36
320,Product 320,Credit Card,7
885,Product 885,PayPal,26
336,Product 336,Debit Card,32
573,Product 573,PayPal,43
770,Product 770,Debit Card,22
573,Product 573,Credit Card,17
152,Product 152,Credit Card,48
890,Product 890,Debit Card,12
343,Product 343,PayPal,44
251,Product 251,Debit Card,18
542,Product 542,PayPal,43
181,Product 181,Credit Card,20
324,Product 324,PayPal,21
680,Product 680,Cash,21
705,Product 705,Debit Card,26
876,Product 876,Credit Card,47
617,Product 617,Cash,31
377,Product 377,Cash,10
385,Product 385,Cash,12
964,Product 964,Debit Card,15
232,Product 232,Credit Card,6
678,Product 678,Credit Card,46
225,Product 225,Cash,18
908,Product 908,Debit Card,19
773,Product 773,Debit Card,39
184,Product 184,Debit Card,30
405,Product 405,Cash,27
297,Product 297,Credit Card,10
387,Product 387,Credit Card,25
319,Product 319,Cash,13
778,Product 778,PayPal,9
197,Product 197,Cash,7
366,Product 366,Debit Card,6
683,Product 683,PayPal,35
733,Product 733,Debit Card,23
193,Product 193,Credit Card,17
645,Product 645,Credit Card,16
702,Product 702,PayPal,36
633,Product 633,Debit Card,33
126,Product 126,PayPal,46
460,Product 460,PayPal,49
447,Product 447,Cash,12
508,Product 508,PayPal,20
784,Product 784,Credit Card,6
410,Product 410,PayPal,27
197,Product 197,PayPal,14
613,Product 613,Credit Card,32
908,Product 908,Cash,39
566,Product 566,Debit Card,6
831,Product 831,Cash,48
296,Product 296,Cash,1
834,Product 834,Cash,3
329,Product 329,PayPal,29
675,Product 675,Cash,7
724,Product 724,Credit Card,39
715,Product 715,Credit Card,14
975,Product 975,Cash,39
434,Product 434,PayPal,43
981,Product 981,Credit Card,11
264,Product 264,Credit Card,35
936,Product 936,Cash,46
576,Product 576,Credit Card,16
846,Product 846,Credit Card,7
126,Product 126,PayPal,39
919,Product 919,PayPal,22
778,Product 778,Debit Card,20
215,Product 215,Debit Card,7
184,Product 184,Debit Card,50
882,Product 882,Debit Card,31
930,Product 930,Credit Card,23
526,Product 526,Cash,22
224,Product 224,Cash,29
355,Product 355,Credit Card,30
714,Product 714,Debit Card,14
680,Product 680,PayPal,50
879,Product 879,Debit Card,19
705,Product 705,Debit Card,33
428,Product 428,Credit Card,1
651,Product 651,Credit Card,8
681,Product 681,PayPal,33
674,Product 674,Cash,6
857,Product 857,Debit Card,34
259,Product 259,Cash,13
293,Product 293,Credit Card,3
619,Product 619,Debit Card,13
794,Product 794,Cash,4
856,Product 856,Cash,31
800,Product 800,Cash,27
146,Product 146,Debit Card,21
493,Product 493,Debit Card,5
917,Product 917,Cash,41
647,Product 647,Debit Card,40
191,Product 191,Debit Card,38
641,Product 641,Cash,9
510,Product 510,Debit Card,29
568,Product 568,Credit Card,35
307,Product 307,PayPal,10
771,Product 771,Credit Card,26
558,Product 558,Cash,29
941,Product 941,PayPal,40
511,Product 511,Cash,11
919,Product 919,Cash,38
961,Product 961,PayPal,47
193,Product 193,Cash,1
177,Product 177,PayPal,13
229,Product 229,PayPal,19
585,Product 585,Cash,14
547,Product 547,Debit Card,20
284,Product 284,PayPal,39
498,Product 498,Cash,11
562,Product 562,Cash,37
837,Product 837,PayPal,44
496,Product 496,Debit Card,18
510,Product 510,Debit Card,1
720,Product 720,Debit Card,41
540,Product 540,Cash,15
105,Product 105,PayPal,31
268,Product 268,Credit Card,46
423,Product 423,Debit Card,41
403,Product 403,Cash,21
583,Product 583,PayPal,2
356,Product 356,PayPal,47
800,Product 800,Credit Card,8
314,Product 314,Credit Card,22
149,Product 149,Debit Card,12
945,Product 945,Debit Card,16
387,Product 387,Credit Card,16
262,Product 262,Debit Card,50
571,Product 571,Credit Card,2
740,Product 740,PayPal,39
740,Product 740,Cash,34
795,Product 795,Debit Card,16
863,Product 863,Credit Card,16
255,Product 255,Credit Card,15
752,Product 752,PayPal,44
797,Product 797,PayPal,17
496,Product 496,Debit Card,10
681,Product 681,Credit Card,24
858,Product 858,Cash,4
867,Product 867,Credit Card,37
755,Product 755,Cash,10
661,Product 661,Debit Card,33
427,Product 427,Cash,28
327,Product 327,PayPal,13
747,Product 747,Cash,36
169,Product 169,PayPal,35
781,Product 781,Credit Card,4
823,Product 823,Debit Card,25
403,Product 403,Debit Card,3
843,Product 843,PayPal,33
378,Product 378,Credit Card,18
912,Product 912,Credit Card,39
884,Product 884,PayPal,3
606,Product 606,Debit Card,44
879,Product 879,PayPal,50
927,Product 927,PayPal,25
902,Product 902,Cash,16
773,Product 773,Cash,16
707,Product 707,Cash,39
205,Product 205,Credit Card,32
620,Product 620,Cash,18
804,Product 804,Debit Card,16
184,Product 184,PayPal,43
602,Product 602,Credit Card,49
117,Product 117,PayPal,22
555,Product 555,PayPal,47
306,Product 306,Credit Card,37
424,Product 424,PayPal,10
378,Product 378,Cash,19
621,Product 621,PayPal,37
351,Product 351,Credit Card,2
664,Product 664,Debit Card,37
386,Product 386,PayPal,4
991,Product 991,Credit Card,2
776,Product 776,Cash,35
710,Product 710,Credit Card,44
251,Product 251,Cash,35
766,Product 766,PayPal,24
349,Product 349,Cash,16
111,Product 111,Cash,39
805,Product 805,Debit Card,37
408,Product 408,Debit Card,25
968,Product 968,PayPal,3
256,Product 256,Credit Card,23
748,Product 748,Cash,13
980,Product 980,Debit Card,42
354,Product 354,Cash,36
930,Product 930,Cash,16
283,Product 283,PayPal,38
257,Product 257,PayPal,19
697,Product 697,Credit Card,26
670,Product 670,Credit Card,8
622,Product 622,Cash,40
661,Product 661,PayPal,20
233,Product 233,PayPal,33
260,Product 260,PayPal,42
326,Product 326,PayPal,27
629,Product 629,Cash,50
116,Product 116,Credit Card,22
848,Product 848,Credit Card,8
475,Product 475,Debit Card,22
617,Product 617,Credit Card,11
979,Product 979,Debit Card,8
840,Product 840,Cash,26
272,Product 272,Credit Card,44
145,Product 145,Credit Card,49
361,Product 361,Debit Card,24
266,Product 266,PayPal,9
422,Product 422,Cash,46
562,Product 562,Credit Card,23
500,Product 500,PayPal,44
817,Product 817,Credit Card,24
242,Product 242,Debit Card,2
451,Product 451,Debit Card,29
768,Product 768,Cash,31
263,Product 263,PayPal,38
959,Product 959,Cash,29
222,Product 222,Credit Card,43
872,Product 872,Credit Card,21
975,Product 975,Debit Card,46
565,Product 565,Cash,28
502,Product 502,PayPal,37
638,Product 638,PayPal,10
853,Product 853,Credit Card,25
789,Product 789,PayPal,34
809,Product 809,PayPal,37
697,Product 697,Cash,25
218,Product 218,Debit Card,33
970,Product 970,Cash,18
141,Product 141,Debit Card,20
454,Product 454,PayPal,38
322,Product 322,Cash,47
924,Product 924,Cash,19
834,Product 834,Cash,44
679,Product 679,Cash,7
165,Product 165,Cash,18
396,Product 396,Cash,17
969,Product 969,Debit Card,6
248,Product 248,PayPal,47
693,Product 693,Cash,19
954,Product 954,PayPal,2
240,Product 240,Debit Card,37
523,Product 523,Credit Card,19
595,Product 595,PayPal,31
821,Product 821,Credit Card,19
432,Product 432,Credit Card,12
796,Product 796,Credit Card,50
662,Product 662,Cash,33
177,Product 177,Debit Card,15
870,Product 870,PayPal,39
696,Product 696,Credit Card,17
905,Product 905,Credit Card,19
930,Product 930,Debit Card,39
916,Product 916,PayPal,42
452,Product 452,Debit Card,12
767,Product 767,PayPal,4
679,Product 679,Debit Card,8
427,Product 427,Cash,34
301,Product 301,Debit Card,3
574,Product 574,Debit Card,21
495,Product 495,PayPal,15
843,Product 843,PayPal,22
847,Product 847,PayPal,36
145,Product 145,Credit Card,50
